name,city,country,country_code,iata,icao,x,y,elevation,apid,timezone,dst,tz_id,type,source,ap_uid,ap_name
9 de Maio - Teixeira de Freitas Airport,Teixeira de Freitas,Brazil,,TXF,SNTF,-39.66849899292,-17.524499893188,344,13230,-3,S,,airport,OurAirports,user,"Teixeira de Freitas-9 de Maio - T. (TXF), Brazil"
A Coruña Airport,La Coruna,Spain,,LCG,LECO,-8.37726,43.302101,326,1220,1,E,Europe/Madrid,airport,OurAirports,,"La Coruna-A Coruña Airport (LCG), Spain"
Aachen Hauptbahnhof,Aachen,Germany,,XHJ,,6.0912,50.7676,873,9623,1,E,Europe/Berlin,station,User,user,"Aachen Hauptbahnhof (XHJ), Germany"
Aachen-Merzbrück Airport,Aachen,Germany,,AAH,EDKA,6.186388969421387,50.823055267333984,623,4165,1,E,Europe/Berlin,airport,OurAirports,user,"Aachen-Merzbrück Airport (AAH), Germany"
Aalborg Airport,Aalborg,Denmark,,AAL,EKYT,9.84924316406,57.0927589138,10,628,1,E,Europe/Copenhagen,airport,OurAirports,,"Aalborg Airport (AAL), Denmark"
Aarhus Airport,Aarhus,Denmark,,AAR,EKAH,10.619000434899998,56.2999992371,82,607,1,E,Europe/Copenhagen,airport,OurAirports,,"Aarhus Airport (AAR), Denmark"
Aasiaat Airport,Aasiaat,Greenland,,JEG,BGAA,-52.7846984863,68.7218017578,74,3997,-3,E,America/Godthab,airport,OurAirports,user,"Aasiaat Airport (JEG), Greenland"
Aba Tenna Dejazmach Yilma International Airport,Dire Dawa,Ethiopia,,DIR,HADR,41.85419845581055,9.624699592590332,3827,1112,3,U,Africa/Addis_Ababa,airport,OurAirports,,"Dire Dawa-Aba Tenna Dejazmach Y. (DIR), Ethiopia"
Abaco I Walker C Airport,Walker's Cay,Bahamas,,WKR,MYAW,-78.39969635009766,27.266700744628906,10,9759,-5,A,,airport,OurAirports,user,"Walker's Cay-Abaco I Walker C Ai. (WKR), Bahamas"
Abadan Airport,Abadan,Iran,,ABD,OIAA,48.2282981873,30.371099472,10,2097,3.5,E,Asia/Tehran,airport,OurAirports,,"Abadan Airport (ABD), Iran"
Abaiang Airport,Abaiang Atoll,Kiribati,,ABF,NGAB,173.04100036621094,1.798609972000122,0,7320,12,U,Pacific/Tarawa,airport,OurAirports,user,"Abaiang Atoll-Abaiang Airport (ABF), Kiribati"
Abakan Airport,Abakan,Russia,,ABA,UNAA,91.38500213623047,53.7400016784668,831,2955,7,N,Asia/Krasnoyarsk,airport,OurAirports,,"Abakan Airport (ABA), Russia"
Abbeville,Abbeville,France,,XAB,LFOI,1.831891,50.143501,220,1372,1,E,Europe/Paris,airport,OurAirports,,"Abbeville (XAB), France"
Abbotsford Airport,Abbotsford,Canada,,YXX,CYXX,-122.36100006103516,49.025299072265625,195,175,-8,A,America/Vancouver,airport,OurAirports,,"Abbotsford Airport (YXX), Canada"
Abdul Rachman Saleh Airport,Malang,Indonesia,,MLG,WARA,112.714996338,-7.926559925079999,1726,3894,7,N,Asia/Jakarta,airport,OurAirports,,"Malang-Abdul Rachman Saleh Air. (MLG), Indonesia"
Abeche Airport,Abeche,Chad,,AEH,FTTC,20.84429931640625,13.847000122070312,1788,997,1,N,Africa/Ndjamena,airport,OurAirports,,"Abeche Airport (AEH), Chad"
Abeid Amani Karume International Airport,Zanzibar,Tanzania,,ZNZ,HTZA,39.224899,-6.22202,54,1186,3,U,Africa/Dar_es_Salaam,airport,OurAirports,,"Zanzibar-Abeid Amani Karume Int. (ZNZ), Tanzania"
Abel Santamaria Airport,Santa Clara,Cuba,,SNU,MUSC,-79.943603515625,22.49220085144043,338,1918,-5,U,America/Havana,airport,OurAirports,,"Santa Clara-Abel Santamaria Airport (SNU), Cuba"
Abemama Atoll Airport,Abemama,Kiribati,,AEA,NGTB,173.82899475097656,0.49083301424980164,8,7590,12,U,Pacific/Tarawa,airport,OurAirports,user,"Abemama Atoll Airport (AEA), Kiribati"
Aberdeen Dyce Airport,Aberdeen,United Kingdom,,ABZ,EGPD,-2.197779893875122,57.201900482177734,215,532,0,E,Europe/London,airport,OurAirports,,"Aberdeen Dyce Airport (ABZ), United Kingdom"
Aberdeen Railway Station,Aberdeen,United Kingdom,,ZXA,,-2.0985,57.1436,0,9674,0,E,Europe/London,station,User,user,"Aberdeen Railway Station (ZXA), United Kingdom"
Aberdeen Regional Airport,Aberdeen,United States,,ABR,KABR,-98.42179870605469,45.449100494384766,1302,5714,-6,A,America/Chicago,airport,OurAirports,user,"Aberdeen Regional Airport (ABR), United States"
Abha Regional Airport,Abha,Saudi Arabia,,AHB,OEAB,42.65660095210001,18.240400314299997,6858,2059,3,U,Asia/Riyadh,airport,OurAirports,,"Abha Regional Airport (AHB), Saudi Arabia"
Abilene Regional Airport,Abilene,United States,,ABI,KABI,-99.68190002440001,32.4113006592,1791,3718,-6,A,America/Chicago,airport,OurAirports,,"Abilene Regional Airport (ABI), United States"
Abraham González International Airport,Ciudad Juarez,Mexico,,CJS,MMCS,-106.42900085449219,31.63610076904297,3904,1796,-7,S,America/Mazatlan,airport,OurAirports,,"Ciudad Juarez-Abraham González I. (CJS), Mexico"
Abraham Lincoln Capital Airport,Springfield,United States,,SPI,KSPI,-89.67790222,39.84410095,598,4336,-6,A,America/Chicago,airport,OurAirports,user,"Springfield-Abraham Lincol. (SPI), United States"
Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates,,AUH,OMAA,54.651100158691406,24.433000564575195,88,2179,4,U,Asia/Dubai,airport,OurAirports,,"Abu Dhabi Internati. (AUH), United Arab Emirates"
Abu Musa Island Airport,Abumusa I.,Iran,,AEU,OIBA,55.033001,25.8757,23,2105,3.5,E,Asia/Tehran,airport,OurAirports,,"Abumusa I.-Abu Musa Island Airport (AEU), Iran"
Abu Rudeis Airport ,Abu Rudeis,Egypt,,AUE,,33.12,28.54,39,10127,2,U,,airport,User,user,"Abu Rudeis Airport  (AUE), Egypt"
Abu Simbel Airport,Abu Simbel,Egypt,,ABS,HEBL,31.611700058,22.375999450699997,616,1127,2,U,Africa/Cairo,airport,OurAirports,,"Abu Simbel Airport (ABS), Egypt"
Acadiana Regional Airport,Louisiana,United States,,ARA,KARA,-91.883904,30.0378,24,3471,-6,A,America/Chicago,airport,OurAirports,,"Louisiana-Acadiana Regiona. (ARA), United States"
Achinsk Airport,Achinsk,Russia,,ACS,UNKS,90.57080078125,56.2682991027832,1033,11524,8,N,,airport,OurAirports,user,"Achinsk Airport (ACS), Russia"
Achmad Yani Airport,Semarang,Indonesia,,SRG,WARS,110.375,-6.97273,10,3901,7,N,Asia/Jakarta,airport,OurAirports,,"Semarang-Achmad Yani Airport (SRG), Indonesia"
Achutupo Airport,Achutupo,Panama,,ACU,,-77.98,9.2,0,8204,-5,U,America/Panama,airport,User,user,"Achutupo Airport (ACU), Panama"
Ada Regional Airport,Ada,United States,,ADT,KADH,-96.671303,34.804298,1016,9787,-6,A,America/Chicago,airport,OurAirports,user,"Ada Regional Airport (ADT), United States"
Adado Airport,Adado,Somalia,,AAD,,46.6375,6.095833,1001,13459,3,N,,,,user,"Adado Airport (AAD), Somalia"
Adak Airport,Adak Island,United States,,ADK,PADK,-176.64599609375,51.87799835205078,18,5959,-10,A,America/Adak,airport,OurAirports,user,"Adak Island-Adak Airport (ADK), United States"
Adampur Airport,Adampur,India,,AIP,VIAX,75.758797,31.4338,775,13502,5.5,N,,airport,OurAirports,user,"Adampur Airport (AIP), India"
Adana Airport,Adana,Turkey,,ADA,LTAF,35.280399322499996,36.9822006226,65,1685,3,E,Europe/Istanbul,airport,OurAirports,,"Adana Airport (ADA), Turkey"
Addis Ababa Bole International Airport,Addis Ababa,Ethiopia,,ADD,HAAB,38.799301147499996,8.97789001465,7630,1107,3,U,Africa/Addis_Ababa,airport,OurAirports,,"Addis Ababa Bole International. (ADD), Ethiopia"
Addison Airport,Addison,United States,,ADS,KADS,-96.8364028931,32.9686012268,644,7513,-6,A,America/Chicago,airport,OurAirports,user,"Addison Airport (ADS), United States"
Adelaide International Airport,Adelaide,Australia,,ADL,YPAD,138.531006,-34.945,20,3341,9.5,O,Australia/Adelaide,airport,OurAirports,,"Adelaide International Airport (ADL), Australia"
Aden Adde International Airport,Mogadishu,Somalia,,MGQ,HCMM,45.3046989440918,2.0144400596618652,29,5687,3,U,Africa/Mogadishu,airport,OurAirports,user,"Mogadishu-Aden Adde Internationa. (MGQ), Somalia"
Aden International Airport,Aden,Yemen,,ADE,OYAA,45.02880096435547,12.829500198364258,7,3977,3,U,Asia/Aden,airport,OurAirports,,"Aden International Airport (ADE), Yemen"
Adi Sumarmo Wiryokusumo Airport,Solo City,Indonesia,,SOC,WARQ,110.75700378417969,-7.516089916229248,421,3929,7,N,Asia/Jakarta,airport,OurAirports,,"Solo City-Adi Sumarmo Wiryokus. (SOC), Indonesia"
Adi Sutjipto International Airport,Yogyakarta,Indonesia,,JOG,WARJ,110.43199920654297,-7.788179874420166,350,3898,7,N,Asia/Jakarta,airport,OurAirports,,"Yogyakarta-Adi Sutjipto Intern. (JOG), Indonesia"
Adirondack Regional Airport,Saranac Lake,United States,,SLK,KSLK,-74.2061996459961,44.38529968261719,1663,5770,-5,A,America/New_York,airport,OurAirports,user,"Saranac Lake-Adirondack Re. (SLK), United States"
Adıyaman Airport,Adiyaman,Turkey,,ADF,LTCP,38.4688987732,37.7313995361,2216,5800,3,E,Europe/Istanbul,airport,OurAirports,user,"Adiyaman-Adıyaman Airport (ADF), Turkey"
Adnan Menderes International Airport,Izmir,Turkey,,ADB,LTBJ,27.156999588,38.2924003601,412,1706,3,E,Europe/Istanbul,airport,OurAirports,,"Izmir-Adnan Menderes Internationa. (ADB), Turkey"
Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,,MAD,LEMD,-3.56264,40.471926,1998,1229,1,E,Europe/Madrid,airport,OurAirports,,"Madrid-Adolfo Suárez Madrid–Bar. (MAD), Spain"
Adolino Bedin Regional Airport,Sorriso,Brazil,,SMT,SBSO,-55.672341,-12.479177,1266,13399,-4,S,,airport,OurAirports,user,"Sorriso-Adolino Bedin Regional Ai. (SMT), Brazil"
Aek Godang Airport,Padang Sidempuan,Indonesia,,AEG,WIME,99.430496,1.4001,922,3277,7,N,Asia/Jakarta,airport,OurAirports,,"Padang Sidempuan-Aek Godang Ai. (AEG), Indonesia"
Aeroclub Cluj,Dezmir,Romania,,DZM,,23.4258,46.4643,1019,8184,2,U,Europe/Bucharest,unknown,User,user,"Dezmir-Aeroclub Cluj (DZM), Romania"
